block_number,n_pairs,n_conc
19468127,12713,6196
19468142,61938,29664
19468143,3431,1669
19468154,11477,5538
19468159,14598,7749
19468170,17522,9206
19468172,10461,5197
19468177,11386,6132
19468186,11918,5539
19468190,50599,24205
19468191,9874,4440
19468194,25582,12771
19468207,117195,58929
19468218,17242,9002
19468222,33133,16759
19468227,40056,20272
19468232,11650,6165
19468239,25845,12113
19468242,16231,7847
19468246,41,22
19468248,47421,23953
19468249,6688,3299
19468250,25138,11477
19468256,39180,18839
19468262,145378,74075
19468271,15435,6247
19468280,12514,5823
19468283,89829,44836
19468286,81042,42383
19468288,14901,7624
19468297,1374,603
19468307,87164,44111
19468312,26884,12958
19468318,37132,17430
19468347,18954,10430
19468352,1467,800
19468360,132809,63966
19468362,110656,54794
19468366,4154,1938
19468372,19103,10344
19468386,12057,6376
19468387,23402,12266
19468392,22813,10575
19468405,11533,6008
19468412,123,52
19468431,26193,13406
19468433,78225,37919
19468440,14806,6940
19468453,64472,32501
19468462,37655,18959
19468471,5028,2694
19468473,14953,7990
19468475,11585,5939
19468478,18539,9381
19468486,9786,5241
19468488,16371,8535
19468498,5026,2595
19468499,92791,47901
19468502,4546,2578
19468504,30036,15313
19468508,24278,12659
19468523,31766,14561
19468524,3305,1637
19468526,11999,5713
19468529,15736,7572
19468531,13967,6251
19468538,25416,11591
19468540,72417,35910
19468555,76898,36257
19468561,40825,19744
19468570,22061,10688
19468585,10145,4699
19468598,17931,8658
19468645,10692,5739
19468647,10429,5223
19468649,17678,8894
19468656,7295,4131
19468661,26194,12192
19468665,15847,7571
19468677,9079,4874
19468692,15275,7136
19468695,7824,3654
19468707,38003,19977
19468710,15891,8020
19468734,23751,11670
19468740,11367,5937
19468743,49639,23998
19468755,16575,8231
19468761,16992,8514
19468796,95447,49050
19468802,26577,12538
19468833,22957,11427
19468835,12274,5635
19468853,24993,12223
19468859,16497,8553
19468860,13258,7085
19468862,17696,8620
19468890,20884,11019
19468893,36381,18538
19468907,25787,12690
19468917,5953,3140
19468919,47975,24142
19468925,18845,8532
19468930,22739,11790
19468933,29768,14880
19468939,13174,6586
19468943,20082,9429
19468949,20982,10410
19468959,8959,4232
19468967,66236,32857
19468973,13654,6599
19468980,17605,8881
19468984,14222,6965
19468999,18659,9694
19469009,9425,5338
19469030,40194,20217
19469041,48502,24241
19469043,15954,7286
19469044,11040,5495
19469052,72705,36897
19469067,13148,6652
19469072,6202,2731
19469079,15110,7522
19469084,54865,25279
19469104,35426,17072
19469108,48254,23358
19469117,15268,6951
19469119,15078,8106
19469120,26922,13812
19469126,19508,8581
19469127,18963,8328
19469133,54948,27117
19469136,24275,11378
19469145,58490,28159
19469148,7460,3682
19469149,25025,12710
19469150,9107,4705
19469152,59511,30186
19469168,12351,5756
19469175,14711,7243
19469184,1390,745
19469197,44122,24947
19469209,37300,19441
19469211,15628,7135
19469219,21254,10807
19469222,7354,3991
19469227,1249,637
19469228,52997,27403
19469232,79957,41704
19469233,54375,26626
19469257,24263,11018
19469267,11293,6010
19469274,10874,5316
19469281,37303,18771
19469284,13327,7255
19469290,13797,7089
19469296,27922,15211
19469299,12351,6184
19469309,15422,7334
19469312,13823,6823
19469322,5025,2276
19469325,16560,8112
19469341,20359,10384
19469347,10690,5776
19469359,16272,8481
19469365,7033,3247
19469382,26422,13763
19469396,68964,35123
19469399,45449,22130
19469410,6193,2982
19469413,8325,4248
19469421,13999,6841
19469430,23093,11259
19469434,120391,59717
19469436,9742,4918
19469440,9407,4869
19469458,8610,3928
19469464,12839,7054
19469471,46640,23458
19469475,15505,7264
19469489,21527,11173
19469491,28075,13361
19469508,19801,9687
19469512,14682,6474
19469519,22815,12196
19469520,8266,4450
19469530,11414,5367
19469531,16272,8542
19469540,13605,7063
19469547,23525,11176
19469555,11284,5995
19469560,8625,4001
19469570,13126,6438
19469587,16746,8710
19469588,14664,7196
19469595,1607,834
19469598,32613,15617
19469600,11586,5916
19469606,21304,10631
19469609,38765,18744
19469621,26473,12569
19469623,12825,6131
19469644,21113,10732
19469649,17244,8018
19469655,3395,1833
19469663,17241,8481
19469665,8744,4404
19469669,48911,24751
19469671,69138,34241
19469674,12735,6143
19469677,11523,5287
19469706,35180,18429
19469713,12466,5827
19469716,1840,1084
19469719,12102,6068
19469727,14780,7303
19469730,10905,5792
19469733,15332,7069
19469735,24259,12186
19469737,28297,15091
19469748,18460,9354
19469750,39636,19484
19469753,3461,1749
19469758,21115,11087
19469762,20895,10746
19469764,11348,5517
19469769,23006,11480
19469774,36,17
19469776,23679,11581
19469777,11070,5944
19469787,13959,7168
19469799,4971,2775
19469800,23866,10872
19469821,10221,5490
19469822,1936,1114
19469842,13657,6578
19469846,56823,29706
19469854,21374,11267
19469861,7117,3373
19469866,40061,19640
19469868,18397,9371
19469871,4257,2043
19469877,25276,12286
19469883,45,21
19469886,103454,45986
19469899,9550,4781
19469903,10886,5539
19469904,8952,4691
19469905,1341,662
19469910,4664,2216
19469920,37033,17792
19469931,19452,9042
19469934,36721,18363
19469942,12952,6488
19469943,14632,6959
19469949,12922,6759
19469960,12488,6557
19469970,12592,6300
19469976,14441,7384
19469980,4542,2206
19469985,48725,23666
19469986,35081,18098
19469995,13927,7157
19470020,65698,33879
19470028,18247,9621
19470036,14819,7237
19470042,14867,8367
19470058,14803,7704
19470063,27134,13719
19470081,18589,8508
19470095,57867,29637
19470097,7101,3588
19470099,49006,24505
19470101,10144,5218
19470102,7551,3511
19470121,11657,5999
19470125,17632,8590
19470126,13532,6947
19470132,52636,25670
19470133,11183,5809
19470136,10773,5261
19470145,12711,6555
19470149,19975,10049
19470154,19358,10224
19470162,9805,4980
19470178,6786,3529
19470184,8118,3826
19470190,15316,7449
19470194,31308,16024
19470216,22285,11130
19470220,11887,5892
19470229,24261,11338
19470242,14,10
19470253,12962,6932
19470267,6526,3442
19470269,1191,555
19470270,40849,18646
19470276,32457,15835
19470279,1413,820
19470281,21888,11687
19470285,15061,7400
19470287,18334,9050
19470293,17593,9478
19470300,18958,9573
19470303,1673,659
19470312,12389,6379
19470314,14813,7542
19470330,2736,1279
19470332,50230,24085
19470334,12292,6087
19470335,15496,8024
19470345,53,19
19470346,78208,37150
19470354,9410,4503
19470359,17586,8124
19470371,13606,6777
19470375,34070,18886
19470382,1984,1140
19470389,11222,5302
19470400,10646,5466
19470402,6150,2898
19470403,14504,6966
19470411,13066,6613
19470424,9518,5519
19470429,14344,7369
19470433,8665,4245
19470446,13010,6159
19470451,26424,12711
19470456,6452,3029
19470459,15704,8120
19470460,133434,68044
19470461,22164,11523
19470467,83556,41311
19470469,11849,6717
19470485,2434,1356
19470490,19016,10639
19470497,9972,4747
19470499,22156,10712
19470500,9196,5006
19470503,11385,6193
19470504,10953,5406
19470525,19031,8435
19470527,12203,5979
19470533,6,1
19470535,66820,33729
19470537,14571,7611
19470540,24690,12709
19470550,10618,4758
19470555,9865,4588
19470569,12391,6109
19470596,14696,6961
19470597,21,8
19470611,20375,10467
19470618,13856,6855
19470628,16509,8754
19470630,31806,16100
19470639,18487,10295
19470641,20578,10791
19470650,20657,10113
19470653,16582,8164
19470655,10996,6079
19470662,12080,6273
19470668,6710,3439
19470676,11427,5290
19470684,9526,5226
19470698,30885,16234
19470724,9678,4769
19470740,14807,8069
19470743,14130,7583
19470749,9669,4418
19470751,15247,8184
19470753,37855,18645
19470772,10594,5484
19470776,44479,23326
19470777,35142,17290
19470781,15256,7578
19470801,13304,6590
19470803,24327,11677
19470804,14566,7450
19470805,12056,5933
19470823,8304,4186
19470833,33591,16799
19470836,23287,12870
19470842,9058,4894
19470844,15314,7927
19470851,4172,2049
19470852,6557,3105
19470855,7385,3527
19470863,16968,8780
19470871,11523,5955
19470874,12841,7076
19470878,7300,3298
19470880,12128,6139
19470890,10171,5137
19470900,23159,11219
19470904,7773,3691
19470918,26623,14819
19470919,7197,3371
19470923,92427,45085
19470924,13044,6175
19470942,37867,17272
19470953,11114,5334
19470959,19482,9762
19470960,14852,7365
19470972,27789,13322
19470973,9708,5271
19470981,29333,14769
19470986,952,518
19470992,8804,4680
19470993,21943,10474
19470994,5802,2769
19470995,2007,1048
19470997,32613,16443
19471009,22425,11906
19471015,10108,5341
19471016,12993,7202
19471029,11687,5239
19471051,170,97
19471053,28987,14264
19471058,13426,6306
19471068,39873,19695
19471107,29658,14836
19471111,9750,5219
19471131,16391,8279
19471136,11102,6020
19471144,19938,9854
19471145,9052,4277
19471164,29134,14212
19471177,14594,7472
19471185,39580,19187
19471187,25489,11945
19471189,12383,5396
19471201,11594,5661
19471206,41293,21297
19471209,32150,17127
19471219,55931,27111
19471223,10828,5416
19471233,15476,8235
19471234,14910,8006
19471235,26441,13316
19471241,17062,8629
19471253,2460,1179
19471274,6393,3226
19471280,12087,6219
19471282,22988,11418
19471290,8102,4282
19471302,12153,6720
19471303,13992,7065
19471317,8069,3941
19471322,28663,13588
19471323,780,346
19471326,9089,4722
19471331,12578,6333
19471334,48046,23794
19471341,18144,8984
19471343,13841,6897
19471357,11568,5519
19471362,14645,6879
19471363,16391,8097
19471366,47225,25117
19471377,18068,9400
19471389,6619,3577
19471394,23495,11920
19471398,10921,5244
19471402,8568,4066
19471411,14721,6521
19471416,18101,8875
19471417,21881,11550
19471423,21120,10208
19471429,32440,15766
19471437,34966,16637
19471442,38247,19303
19471477,29816,15320
19471479,20888,9647
19471493,11095,5845
19471503,16193,8435
19471528,13183,6843
19471533,10548,5345
19471546,32457,16883
19471549,980,403
19471555,7434,3977
19471556,31545,14856
19471558,21317,10651
19471562,61805,30900
19471565,6477,3137
19471578,15042,7477
19471582,38841,20149
19471608,13649,6705
19471612,65774,31965
19471616,9005,4295
19471619,10076,5022
19471621,6992,3833
19471623,2177,1090
19471635,12029,6590
19471667,24202,11761
19471668,10133,5005
19471670,13842,7052
19471684,688,283
19471686,34446,17229
19471688,34655,16895
19471693,14075,7741
19471697,20191,10432
19471712,26851,13902
19471715,21143,9608
19471728,10199,4875
19471733,9422,4383
19471747,53214,28782
19471754,23783,11923
19471756,7850,3963
19471759,12761,6334
19471777,8061,4085
19471779,14555,7077
19471814,13475,6516
19471822,7846,4352
19471840,52437,26041
19471848,7511,3793
19471854,50023,24635
19471856,19359,8649
19471858,10439,4592
19471865,6640,3401
19471866,44,15
19471875,26680,13159
19471893,9529,4517
19471897,23239,12420
19471901,28961,13276
19471908,17968,9319
19471924,54449,26521
19471925,8821,4586
19471942,6155,3010
19471946,10474,4959
19471956,13524,7165
19471966,142,76
19471984,59517,29724
19471985,11871,6441
19472004,8247,4132
19472011,14992,7424
19472017,3546,1692
19472022,10463,4887
19472024,16802,8361
19472032,19850,10339
19472045,338,235
19472048,4,4
19472078,5960,3281
19472082,21261,9753
19472085,4876,2332
19472102,25646,12521
19472108,8067,4255
19472116,12129,5943
19472117,25735,13187
19472119,15990,8362
19472120,6627,3462
19472138,6450,2719
19472144,9791,4996
19472160,19683,10449
19472161,12014,5476
19472179,10521,4823
19472182,15830,8014
19472183,7008,3354
19472193,12954,6887
19472205,13583,6615
19472207,7007,3368
19472209,13151,5864
19472218,7954,3823
19472225,38156,18593
19472229,25877,13310
19472234,27585,13830
19472240,17170,8407
19472265,64861,30776
19472270,3554,2062
19472280,13339,6552
19472283,7761,4493
19472286,9688,4672
19472293,161,74
19472296,13933,6910
19472299,26,11
19472302,7313,3656
19472312,69304,34234
19472322,67809,33332
19472324,8541,4259
19472325,8292,3985
19472328,5328,2700
19472329,3907,1975
19472330,16130,7971
19472333,16079,8518
19472334,20414,8991
19472337,19149,9808
19472343,51525,27787
19472348,11055,5707
19472353,5421,2706
19472381,2683,1276
19472401,3806,1835
19472403,12152,6505
19472407,23539,11024
19472411,11725,5850
19472413,9577,5303
19472414,22698,10941
19472419,10296,5322
19472426,84799,43340
19472438,18372,10236
19472445,22394,11599
19472451,11515,5991
19472460,16313,7843
19472465,20529,9994
19472466,13543,6230
19472468,20706,10471
19472472,14295,7595
19472494,30921,16420
19472498,8302,4174
19472501,44795,21615
19472502,7105,3629
19472507,63407,32953
19472514,15399,7136
19472530,49379,24596
19472532,53837,27392
19472540,8563,4416
19472547,61952,29142
19472551,20678,10183
19472552,2117,1299
19472558,5,2
19472563,7113,3581
19472564,10681,5746
19472570,11599,5821
19472583,14065,7163
19472599,14139,6794
19472611,7903,3844
19472621,3529,2043
19472622,31670,15168
19472629,3335,1531
19472633,49592,23786
19472636,22297,10633
19472638,12254,6403
19472642,47155,23412
19472643,23257,11677
19472653,7324,3455
19472671,16935,8967
19472676,25159,12290
19472678,12615,6716
19472686,43814,22023
19472689,11909,5510
19472695,17148,8410
19472697,764,282
19472715,114508,55724
19472721,54291,28938
19472726,7550,3895
19472728,3111,1533
19472731,3159,1534
19472732,10381,5367
19472734,87723,43385
19472735,18857,10175
19472736,8342,3936
19472742,21687,10709
19472750,14506,7011
19472765,11285,5999
19472775,25337,12811
19472778,7701,3902
19472789,13080,6622
19472792,18820,8746
19472793,17894,8061
19472800,13045,6383
19472824,15774,7377
19472828,4862,2216
19472834,13202,7060
19472840,4514,2144
19472843,13307,6889
19472846,26,18
19472848,35999,17648
19472852,7573,3852
19472855,14296,6614
19472865,12742,6522
19472869,9510,5223
19472886,10991,5350
19472889,32068,15538
19472904,2456,1304
19472905,34022,16065
19472906,27198,13174
19472914,9446,4803
19472917,15297,7519
19472920,34510,16815
19472936,6105,2928
19472948,5888,2916
19472968,10862,5660
19472976,47147,24058
19472977,26067,11949
19472978,8948,4229
19472984,17347,8299
19472988,17821,8680
19473003,24747,12611
19473023,20503,9361
19473031,29226,14181
19473038,16100,6826
19473039,26769,13717
19473052,52989,25450
19473057,23109,11450
19473059,52567,25538
19473062,13979,6743
19473065,25322,12491
19473066,6347,3621
19473075,22154,10433
19473088,12906,6262
19473095,33638,17209
19473097,11068,5429
19473120,16581,8507
19473137,46527,23676
19473141,85774,43429
19473144,23679,12440
19473152,15562,7770
19473153,15598,7695
19473157,13829,6775
19473160,10395,4614
19473178,9645,4847
19473186,83766,43191
19473187,1435,591
19473188,67728,32817
19473207,8796,3959
19473208,730,346
19473210,6375,3212
19473213,9816,4649
19473215,15534,7542
19473217,35455,17857
19473226,8258,4288
19473229,31389,15696
19473233,49731,24540
19473251,30246,15096
19473255,8672,4356
19473262,14322,7630
19473265,13614,6852
19473271,285,128
19473272,93726,46002
19473273,8638,4525
19473295,13291,7052
19473308,3630,1872
19473309,15737,7907
19473313,13134,6311
19473315,9274,4503
19473317,8688,3982
19473323,25074,11989
19473331,28177,14002
19473335,21286,10360
19473347,20235,10336
19473349,24096,10814
19473354,120417,63995
19473358,13766,6823
19473363,25666,12856
19473367,29710,14130
19473370,49313,22768
19473372,16340,7667
19473383,50257,24946
19473384,5807,2722
19473390,118,53
19473395,25566,12092
19473402,39258,20824
19473407,12283,6414
19473412,7097,3609
19473417,15060,8065
19473420,7150,3612
19473422,9565,5355
19473436,11794,5579
19473446,10168,5389
19473464,38159,18148
19473465,7496,3932
19473477,2481,1038
19473483,5878,2840
19473485,16840,8270
19473497,8792,4242
19473498,1126,651
19473499,39813,20472
19473511,7603,3882
19473514,9246,4538
19473518,15675,7581
19473526,2592,1255
19473532,90741,47868
19473537,13167,6305
19473539,52785,25096
19473541,23612,11945
19473549,47712,25413
19473551,47551,23510
19473561,14619,7198
19473568,9615,5009
19473588,356,170
19473591,5748,2551
19473593,4971,2447
19473614,45812,22529
19473619,18677,9088
19473626,9825,5077
19473634,10793,5308
19473644,43009,19255
19473658,14668,7173
19473675,9457,3923
19473682,19102,9742
19473683,947,491
19473701,15072,7551
19473709,14,6
19473711,31586,15497
19473717,5251,2498
19473730,9899,4596
19473737,35099,17218
19473739,9951,4686
19473747,19434,9699
19473755,15622,7326
19473758,28995,15672
19473765,953,417
19473769,6121,3233
19473774,7612,3984
19473783,6771,3395
19473789,3847,1696
19473794,30207,14574
19473798,15261,7949
19473806,49219,25149
19473826,12079,5839
19473829,7080,3668
19473830,50038,26301
19473833,27437,14088
19473836,12018,6229
19473849,46898,22100
19473855,12674,7309
19473858,7842,3928
19473865,14420,7568
19473875,8818,4773
19473880,6824,3432
19473898,6025,3162
19473899,21943,10714
19473900,6817,3431
19473905,6238,3089
19473907,84461,43814
19473927,9312,4907
19473934,76992,39572
19473936,2553,1317
19473940,19587,9941
19473941,17411,8715
19473946,1920,929
19473950,25106,11943
19473953,21713,11741
19473961,20817,10644
19473963,12339,5867
19473989,10615,5218
19474019,24405,11991
19474023,15765,8542
19474044,34538,16108
19474048,47569,23351
19474050,7122,3443
19474063,21589,10551
19474066,1635,839
19474068,34341,17373
19474074,11696,5692
19474078,10193,4854
19474086,21016,10109
19474101,21846,10975
19474115,55497,28280
19474117,7594,3350
19474118,21946,10508
19474120,14049,7085
19474122,40826,22197
19474131,24296,12329
19474136,84373,43342
19474138,4603,2248
19474143,18293,8390
19474147,7012,3250
19474158,26968,14191
19474169,8678,4904
19474173,37721,16346
19474177,86068,42326
19474184,18616,9229
19474189,12075,5937
19474191,12585,6370
19474192,43763,22460
19474211,11606,5578
19474214,8788,4188
19474215,65759,32961
19474222,18266,9757
19474223,20098,10202
19474234,50390,27190
19474236,15729,7917
19474243,27034,11690
19474257,10010,5034
19474260,21209,10188
19474291,18009,9098
19474301,42621,21246
19474302,16593,8030
19474308,12990,6420
19474313,18402,10659
19474323,9334,4417
19474332,13656,7233
19474333,4220,2243
19474340,47967,23075
19474358,20851,10680
19474359,18016,8574
19474364,16915,9357
19474366,19091,9883
19474385,16804,7939
19474387,61878,30397
19474395,14746,7090
19474398,4132,1567
19474410,561,278
19474414,9452,4890
19474415,12002,5872
19474417,74334,35624
19474419,11657,6159
19474429,8070,3946
19474430,15533,7939
19474437,16162,8309
19474460,26444,13126
19474462,1186,570
19474467,28317,13144
19474479,598,320
19474483,38799,19333
19474485,17443,8962
19474496,71804,37409
19474509,14812,7322
19474513,32198,17329
19474514,11802,6393
19474523,28793,13536
19474524,2902,1289
19474526,45655,22582
19474539,15783,7969
19474558,45357,24382
19474560,17075,8552
19474574,19058,9492
19474580,15047,7727
19474601,10062,4715
19474603,12196,5445
19474623,4637,2332
19474624,72602,37154
19474642,13778,6996
19474646,19438,10096
19474649,7582,3904
19474656,34416,17693
19474665,11205,6202
19474672,10144,4803
19474676,32984,16901
19474677,29028,14821
19474683,8587,3883
19474685,8119,4312
19474687,19073,8910
19474692,18301,8694
19474700,8533,3775
19474702,12725,6823
19474710,15398,7322
19474712,13407,7111
19474713,4613,2298
19474728,3955,1863
19474729,23388,11929
19474746,11488,5158
19474763,8760,4488
19474765,30724,15293
19474777,1403,687
19474779,16938,7747
19474782,20982,11101
19474787,9884,4740
19474794,650,317
19474824,23689,11724
19474827,61,26
19474839,6996,3616
19474840,33420,16026
19474849,8101,4166
19474856,15697,8066
19474858,14699,7243
19474860,3834,1997
19474864,16903,8462
19474867,15876,7877
19474869,9688,5450
19474891,17130,7707
19474893,41424,21823
19474908,26754,13148
19474911,2864,1367
19474912,75679,36774
19474913,39140,19495
19474921,41629,21400
19474932,11358,5617
19474935,36379,18399
19474941,6502,3373
19474955,16698,9062
19474957,15167,7744
19474969,23037,12724
19474988,16053,7329
19474994,74597,37796
19475003,7784,3768
19475011,41711,21114
19475027,18118,8766
19475028,8140,4026
19475040,17520,9262
19475051,680,336
19475054,9550,4319
19475081,10983,5194
19475092,28335,15117
19475094,120576,61535
19475099,75949,36611
19475110,8471,4247
19475112,36099,16991
19475113,7912,4596
19475130,43077,22341
19475138,63479,31018
19475143,14095,7430
19475149,5276,2712
19475156,6302,3048
19475158,3345,1760
19475162,6250,2988
19475166,22888,11364
19475167,23531,11315
19475173,142,77
19475187,4041,2106
19475196,3731,1755
19475198,26471,13100
19475204,3927,1749
19475212,9658,5277
19475227,27619,14190
19475228,27707,13926
19475236,10060,5024
19475239,1291,670
19475244,12785,5834
19475248,46746,23061
19475254,22692,10701
19475257,5418,2578
19475259,11751,5810
19475268,12685,6119
