block_number,n_pairs,n_conc
23723300,32300,25830
23723323,20923,17334
23723335,15671,15608
23723337,5817,5529
23723338,17821,15119
23723346,42765,31988
23723347,1910,1910
23723357,14992,13235
23723359,8920,8831
23723369,16050,15066
23723378,10839,8233
23723388,8396,6306
23723394,18722,13567
23723408,3267,3105
23723431,64260,55860
23723436,16353,13908
23723444,31138,27341
23723449,57127,50346
23723450,6077,4535
23723453,24573,22303
23723454,23086,21871
23723459,28980,22114
23723460,26458,22054
23723461,2566,1676
23723466,6216,6154
23723468,14463,11676
23723511,17620,14812
23723517,72794,48129
23723527,24524,24375
23723539,23722,20504
23723543,62138,45981
23723560,25122,21952
23723575,30512,27173
23723576,21350,14428
23723584,10736,8718
23723589,12347,10974
23723592,26206,22775
23723597,11636,6682
23723606,39381,34620
23723609,37512,29173
23723612,1999,1999
23723620,9147,8023
23723621,32875,28503
23723626,8274,6872
23723627,10653,9763
23723629,13352,10779
23723632,7401,4958
23723641,12484,9463
23723645,18465,16335
23723656,11897,10506
23723677,33952,24534
23723679,26437,24587
23723687,2068,1490
23723692,36313,30770
23723699,963,963
23723717,29665,25936
23723723,11328,10296
23723735,10016,8057
23723738,77073,56591
23723740,16371,14154
23723746,27093,23366
23723751,330,191
23723756,19341,16077
23723761,35790,32293
23723787,21921,15440
23723795,81520,72550
23723797,1309,1257
23723803,19376,13367
23723812,23637,16133
23723818,50201,38745
23723821,65937,58206
23723834,4336,2639
23723837,46520,34066
23723840,11331,8729
23723844,11608,10866
23723847,5222,3440
23723852,35041,21789
23723853,70635,57430
23723854,26415,22393
23723884,26092,18117
23723887,633,253
23723891,7733,5253
23723894,37250,34810
23723899,25825,21311
23723900,14526,11660
23723902,22729,19107
23723903,15792,13139
23723916,34614,29729
23723919,13954,11703
23723924,20535,17597
23723929,35754,26690
23723937,9016,7488
23723942,16640,12401
23723958,45002,28054
23723959,4354,3040
23723961,32068,26434
23723969,23151,16010
23723983,17400,13777
23723998,16502,12949
23724001,18298,12175
23724010,162,92
23724022,14191,10341
23724026,12822,11433
23724030,52255,43257
23724047,17670,13146
23724052,9925,9414
23724083,18014,13944
23724096,24952,17500
23724103,7789,4872
23724105,61402,43439
23724142,28062,20529
23724146,19393,16482
23724157,18558,14579
23724165,63177,61361
23724174,15096,12781
23724176,17953,15274
23724182,25005,19621
23724185,17497,15768
23724196,43977,34276
23724206,42035,36092
23724207,25060,18769
23724214,11237,8277
23724225,552,288
23724233,32347,26337
23724240,28572,24950
23724243,14087,9467
23724261,9258,7563
23724264,15733,13822
23724266,20222,16678
23724278,36372,28186
23724280,6779,5801
23724282,25636,19918
23724287,25558,24818
23724294,11935,8899
23724308,17070,13274
23724310,14155,9267
23724319,23540,17273
23724323,4967,4177
23724335,19496,16968
23724339,3424,3263
23724341,17188,14620
23724343,2257,1058
23724348,14066,9329
23724351,72978,57878
23724357,12384,9963
23724361,27104,23949
23724362,46518,34113
23724385,17851,14536
23724392,40801,39009
23724400,22145,17788
23724401,28744,20830
23724409,524,487
23724410,23289,22949
23724411,1898,888
23724443,16129,11499
23724444,16886,14700
23724445,13628,11566
23724452,22284,14748
23724465,8400,7898
23724485,17908,17285
23724487,15422,14853
23724513,14069,9655
23724515,30280,29595
23724535,3881,3881
23724536,45834,33516
23724547,17928,12930
23724548,14271,9785
23724550,2134,1189
23724554,20569,16844
23724560,14763,14250
23724564,30442,27432
23724590,16134,11498
23724601,36516,26643
23724611,26208,21701
23724612,21520,19547
23724618,11700,11338
23724621,25568,19690
23724633,19435,14055
23724645,15437,11690
23724670,12887,12039
23724688,41641,32233
23724721,18684,18201
23724749,24974,24598
23724775,13057,13057
23724781,20086,14010
23724792,58212,45200
23724794,16611,12539
23724816,126137,91082
23724830,17356,16147
23724832,19505,16514
23724837,27890,22881
23724842,32547,21623
23724846,6519,6517
23724863,18520,12663
23724873,22192,17378
23724892,61444,45201
23724905,20404,17126
23724907,26628,20887
23724910,15419,12433
23724920,34527,30007
23724923,14790,13931
23724925,8514,8514
23724935,10453,9141
23724940,5583,5583
23724943,2051,2051
23724957,40122,34522
23724961,39001,30619
23724966,6122,5807
23724972,16014,13545
23724975,19691,15939
23724976,21056,17463
23724984,28589,22312
23724990,25418,21397
23725002,17210,14583
23725016,26851,22401
23725029,26151,19393
23725042,3933,3933
23725047,22758,18404
23725050,21658,17821
23725057,37036,31282
23725059,45889,28118
23725063,10231,8325
23725070,42061,30727
23725092,26954,24185
23725115,45725,38029
23725118,34893,29140
23725119,19208,15337
23725120,14020,11234
23725123,41418,28577
23725128,28981,21904
23725131,23176,18598
23725134,100380,74255
23725141,7361,6926
23725142,42338,33381
23725147,14376,11019
23725153,16459,9914
23725170,11749,9063
23725184,127237,106090
23725189,29734,23408
23725197,29234,20904
23725221,14310,13583
23725222,201631,167314
23725225,19763,15314
23725228,34396,26953
23725232,39997,33081
23725236,15162,10497
23725238,25306,21652
23725243,35349,27867
23725246,23248,22367
23725247,8239,8203
23725251,26023,23013
23725258,72766,64597
23725265,24941,20016
23725273,39662,34844
23725276,33442,25222
23725281,38389,29723
23725296,3428,3424
23725297,66731,53425
23725308,29296,21976
23725312,30110,25392
23725323,27204,19941
23725326,16908,10986
23725329,61707,42283
23725331,16235,12766
23725340,26271,21430
23725344,35344,30512
23725348,16482,12976
23725360,23094,17082
23725372,147490,128703
23725376,25402,22333
23725382,14082,13711
23725386,3722,3722
23725393,30757,26908
23725397,20162,15202
23725399,25787,17443
23725402,38513,32451
23725403,24405,20059
23725409,18353,14675
23725417,21126,15671
23725424,34605,26062
23725433,18126,11161
23725438,28761,26979
23725439,51962,37734
23725442,41696,35984
23725452,42958,36308
23725462,20394,14674
23725466,39661,27920
23725472,33904,26996
23725501,7404,4128
23725505,18587,18288
23725513,9724,6721
23725516,13963,10959
23725521,25247,18546
23725526,13001,10517
23725541,20199,15874
23725542,35826,34705
23725547,25811,22082
23725558,15409,11461
23725567,19403,16517
23725585,27608,20324
23725588,31481,25933
23725594,13944,10029
23725608,54425,44797
23725616,25830,18934
23725625,28280,22672
23725627,5342,3667
23725629,27633,23145
23725633,18918,15339
23725640,13170,10347
23725642,11509,10191
23725653,17349,11326
23725654,21495,16271
23725656,6347,6323
23725659,21585,18616
23725662,25316,21381
23725678,19075,16653
23725682,16886,13856
23725683,16869,12797
23725685,21880,18098
23725693,28805,20679
23725694,18987,12111
23725710,21882,17191
23725717,24501,18248
23725724,40214,36798
23725740,2880,2880
23725753,27283,21464
23725799,24018,17538
23725801,20192,18296
23725802,8756,5960
23725805,22241,17366
23725811,29958,20931
23725817,15923,13440
23725820,32428,27822
23725833,26065,22797
23725846,11468,8717
23725850,27036,23691
23725861,26364,22187
23725866,19998,16334
23725890,25179,21757
23725894,29762,23363
23725899,53003,43070
23725910,71610,61895
23725917,24017,20487
23725952,14209,11000
23725958,17597,14461
23725989,19477,18999
23725990,3741,3741
23726008,63035,55219
23726009,27162,23398
23726016,15079,11891
23726019,8602,8426
23726045,107,107
23726048,8773,6617
23726049,33204,31569
23726064,38295,23181
23726074,41729,31550
23726075,20453,14637
23726081,14337,14336
23726082,40731,28596
23726086,3544,3539
23726087,44872,32448
23726088,24652,18507
23726095,17025,12604
23726100,29045,22624
23726105,3282,3282
23726114,26209,20873
23726116,79291,64070
23726125,17624,13056
23726130,60718,44822
23726135,24293,19548
23726141,50116,41286
23726156,51399,39524
23726167,11538,9986
23726188,22700,18670
23726198,15475,12465
23726200,18222,15623
23726202,15674,12740
23726209,68963,50425
23726224,31425,26089
23726228,12401,9185
23726238,28367,21512
23726242,28035,22651
23726262,23934,20802
23726266,76262,50931
23726275,23853,18666
23726277,35030,26939
23726278,15624,13513
23726285,23139,18038
23726286,22004,18714
23726291,17059,14284
23726294,28692,23907
23726304,62695,53019
23726307,36447,26886
23726308,24023,19808
23726309,10285,9018
23726310,29383,24636
23726326,10985,10669
23726333,28397,23222
23726343,12978,10085
23726356,64003,40558
23726368,36886,30120
23726369,30894,26052
23726378,22673,17433
23726381,67869,52295
23726383,88444,68922
23726387,25089,21415
23726389,20629,19376
23726391,33500,26998
23726393,21748,19272
23726416,101164,84419
23726427,16187,11879
23726433,30059,25817
23726442,27505,23998
23726444,21392,15940
23726449,20644,16728
23726457,13606,11702
23726459,16324,15385
23726469,65473,53815
23726472,18963,14074
23726482,13924,11460
23726485,93323,72097
23726500,15897,13194
23726505,4218,4212
23726519,27318,23219
23726525,46347,33412
23726543,132204,107236
23726557,32277,22458
23726560,29051,22505
23726569,24741,20699
23726573,29529,20093
23726582,25281,22557
23726591,24641,23481
23726592,12468,9932
23726594,28706,15654
23726596,46289,42809
23726601,24429,17374
23726617,1403,915
23726624,19884,16765
23726631,26677,22319
23726635,29713,23208
23726651,10474,10473
23726669,29025,20222
23726672,44717,34853
23726679,19207,14114
23726680,20079,13583
23726692,21311,17041
23726693,22157,16499
23726700,24654,19912
23726708,31944,26746
23726716,19700,16262
23726717,26317,19104
23726722,20294,12758
23726730,21702,15168
23726748,4450,4450
23726750,19083,15894
23726755,52991,40935
23726760,30966,22252
23726761,2058,1383
23726768,24898,19274
23726771,30243,23844
23726783,24725,16514
23726785,13078,11965
23726805,503,297
23726810,1480,891
23726816,12276,9927
23726824,12654,11478
23726827,27979,21970
23726829,29859,21345
23726831,44418,38912
23726833,28136,20679
23726834,10056,8255
23726839,26717,25749
23726868,12589,11209
23726875,54974,42913
23726877,40467,39946
23726880,21392,16609
23726888,33102,26870
23726892,24854,23155
23726895,34445,29813
23726897,26264,21192
23726899,20130,17188
23726910,17399,14083
23726913,25878,21238
23726914,16483,14325
23726920,35247,29171
23726923,7976,7932
23726924,67820,63926
23726925,35359,28143
23726932,30667,25134
23726935,2462,2313
23726936,6423,6262
23726939,60882,39018
23726940,3126,1364
23726948,23406,17708
23726949,22351,18567
23726960,13416,8978
23726964,18056,14270
23726984,6628,6039
23727004,15023,12805
23727008,15589,12186
23727016,19528,14676
23727021,13245,10415
23727028,9741,7998
23727030,17306,15924
23727034,12945,10883
23727038,75589,50710
23727045,18508,13698
23727047,19325,16543
23727060,37018,36075
23727065,95266,67567
23727066,19745,14143
23727068,16959,13966
23727073,9075,6827
23727082,10599,8072
23727092,43846,35917
23727097,28585,22137
23727104,18728,15333
23727106,19706,17841
23727112,303,219
23727122,28786,27715
23727123,17299,14673
23727132,19998,16539
23727137,32688,28207
23727142,29741,22430
23727147,10161,10161
23727149,17216,13185
23727150,28101,26895
23727157,37723,33378
23727184,31107,25048
23727189,37795,37159
23727198,23873,18289
23727204,25408,20892
23727221,19063,12602
23727227,84704,55191
23727245,27328,23073
23727259,57214,46690
23727261,30354,22905
23727264,25355,20779
23727283,30389,23461
23727288,15153,9489
23727296,24905,23961
23727300,71509,62031
23727308,90419,66908
23727311,89567,62730
23727316,74533,66717
23727325,68792,56158
23727340,18673,14896
23727348,20035,13954
23727353,21563,14493
23727357,38525,22478
23727378,19330,14646
23727382,23552,22883
23727392,62756,51403
23727405,14686,12085
23727415,27609,17350
23727431,48018,37185
23727433,34138,26147
23727434,18572,13576
23727439,31570,23654
23727443,53238,44843
23727444,17634,14018
23727448,21007,15633
23727451,25250,24084
23727456,21593,19754
23727463,51799,45845
23727464,35510,26929
23727469,11570,8648
23727477,33666,26118
23727479,17698,12634
23727495,23577,17635
23727497,22748,22407
23727498,41388,33646
23727510,28369,23205
23727511,23799,18806
23727517,41198,31728
23727524,26089,22184
23727536,8283,7360
23727540,19945,15873
23727546,19107,16185
23727552,6664,6483
23727565,13952,11552
23727566,40489,32200
23727568,17487,14673
23727576,40698,32482
23727587,17387,13257
23727592,22780,20024
23727596,44820,41827
23727611,19196,13120
23727614,27074,20919
23727621,30621,28068
23727623,83985,62207
23727624,844,524
23727627,35321,21876
23727632,6122,3388
23727635,59694,43853
23727649,21312,16485
23727654,25731,19568
23727656,51590,45282
23727663,41233,38541
23727666,19421,18297
23727668,20834,17649
23727689,26493,18462
23727693,32351,31786
23727698,19138,18715
23727700,460,302
23727701,87616,79655
23727705,30366,25280
23727714,37557,26939
23727722,28309,23227
23727733,17666,15083
23727761,994,418
23727763,33571,22684
23727775,27096,19523
23727785,19457,13043
23727792,28140,24299
23727795,80310,75798
23727797,17338,14760
23727804,73729,61233
23727805,42167,33166
23727815,23583,20543
23727817,64671,57362
23727822,775,587
23727827,34648,26184
23727833,16865,14090
23727842,19070,15262
23727851,6960,6948
23727864,32314,32003
23727889,25986,20896
23727907,33568,27484
23727908,17490,13854
23727914,29738,22055
23727917,115015,91514
23727938,21737,20408
23727942,22006,18284
23727943,26848,21344
23727946,30386,29585
23727967,23027,22730
23727968,25209,18466
23727972,45870,30889
23727988,17008,14531
23728000,18720,16420
23728001,36238,28716
23728008,32031,26531
23728011,23363,17007
23728016,33173,31781
23728021,20538,20008
23728028,23472,22978
23728035,52166,38672
23728042,13042,9647
23728045,17248,14858
23728046,12689,12679
23728056,13838,10193
23728066,25803,20428
23728068,47171,38514
23728085,29010,19964
23728089,32079,28721
23728091,14105,11619
23728107,33047,25229
23728118,27767,21438
23728124,7733,7310
23728125,11978,11943
23728138,22851,22650
23728139,27822,22113
23728140,34731,25730
23728145,3,3
23728151,3766,3766
23728156,72296,64290
23728159,122521,105921
23728160,29829,23253
23728163,11744,11099
23728177,37119,27706
23728180,80146,52923
23728182,33930,24609
23728194,14597,9604
23728215,26955,22588
23728221,23585,17815
23728223,29801,21975
23728233,317,191
23728235,9436,6378
23728272,41707,27253
23728276,4999,4218
23728297,18795,15804
23728300,26020,18209
23728310,412,295
23728311,124452,83470
23728330,28752,23076
23728345,37866,32101
23728351,28215,23030
23728354,30044,24394
23728367,23984,19071
23728374,12861,10983
23728375,40245,31449
23728385,6830,4827
23728390,20905,12734
23728400,31277,22332
23728401,27694,25052
23728403,16828,12711
23728408,19230,13030
23728420,6207,6051
23728421,76653,54482
23728441,33563,25276
23728448,29300,20495
23728458,48140,39361
23728468,101140,65950
23728469,55870,41672
23728484,23353,20320
23728490,23687,17033
23728494,61549,50358
23728499,138680,131979
23728502,23347,18771
23728508,18609,15518
23728510,22382,19198
23728524,40175,35687
23728528,26756,19680
23728530,21797,19440
23728533,24698,18659
23728544,58787,47874
23728556,18466,12500
23728563,11364,9507
23728564,58653,36609
23728568,1664,881
23728579,1093,646
23728583,23649,22980
23728585,91901,63673
23728586,21244,20328
23728592,38267,31398
23728598,41288,38238
23728603,24126,15333
23728607,51803,50202
23728644,40945,31713
23728647,22125,16757
23728660,32145,22294
23728672,123,38
23728697,45547,31359
23728702,73103,54391
23728714,28766,21766
23728717,6846,6350
23728721,250,152
23728724,21806,18710
23728725,101800,94662
23728730,9782,8226
23728733,19493,15189
23728747,12604,9584
23728749,31221,23537
23728776,2434,1255
23728779,79687,64464
23728784,29485,21479
23728789,19645,18113
23728792,75250,48379
23728804,28583,23266
23728835,20515,19531
23728836,22875,17877
23728839,38156,25395
23728852,16493,13750
23728853,28957,27536
23728858,3523,3523
23728860,26727,21049
23728862,26647,21973
23728866,75896,57866
23728879,5690,5633
23728885,20958,16373
23728895,74589,60757
23728902,5408,5408
23728914,786,353
23728921,24191,22885
23728924,73925,50142
23728927,16831,12794
23728947,23093,18129
23728948,23425,19734
23728982,23815,20131
23728990,14577,13029
23729008,25335,18892
23729019,50496,48565
23729022,32582,25403
23729026,15386,12163
23729029,12276,8687
23729035,16137,12974
23729046,10059,7461
23729061,14470,9052
23729063,21017,20142
23729065,14212,12490
23729071,12031,11723
23729075,25823,25611
23729091,57241,40392
23729094,13508,11880
23729109,34907,31774
23729116,19703,14196
23729127,9495,6561
23729136,22254,15879
23729154,19273,16271
23729155,10378,7626
23729175,10839,7510
23729180,37161,22575
23729187,8171,6457
23729193,17150,14207
23729194,11868,9142
23729200,9836,7767
23729215,34278,24120
23729219,39647,35152
23729250,11172,9767
23729257,14360,11320
23729270,17043,15921
23729278,33405,31854
23729285,43554,36752
23729288,28436,23221
23729289,832,641
23729290,52153,41964
23729310,7424,5082
23729315,24620,16594
23729331,7298,5663
23729333,13548,10221
23729348,52794,44377
23729350,1797,1797
23729354,9188,7393
23729363,34392,31835
23729376,1924,1922
23729378,8588,6197
23729388,65512,48253
23729397,22951,17223
23729398,9125,6375
23729404,5904,4782
23729405,25697,20000
23729411,11978,9281
23729436,30874,28380
23729443,15835,11771
23729450,14019,11629
23729455,9273,7584
23729457,14742,11160
23729464,25666,19521
23729467,40214,33090
23729469,13720,10174
23729473,23382,19078
23729482,1318,595
23729491,13491,11100
23729494,12528,9716
23729496,27297,24585
23729497,20598,17474
23729499,20944,18126
23729500,11951,8747
23729504,30640,23616
23729506,35151,28347
23729507,18934,14459
23729514,49825,30668
23729521,27242,14846
23729525,359,157
23729553,28784,28092
23729574,35345,26445
23729577,18342,13925
23729581,22087,21739
23729584,28198,26949
23729585,10560,10550
23729586,14636,10677
23729591,30979,22745
23729599,29578,23344
23729610,22995,18183
23729617,27339,24021
23729624,23509,18556
23729630,27421,24643
23729638,29068,22085
23729639,23242,19492
23729643,24753,24493
23729667,17223,12858
23729672,9317,8676
23729674,25914,22457
23729675,15949,11154
23729679,10640,8162
23729685,69473,49489
23729701,15323,11121
23729706,6608,5524
23729713,26925,18039
23729720,22110,17549
23729722,23148,17841
23729724,15299,10350
23729731,21094,16943
23729735,22592,18373
23729737,22936,16322
23729745,15332,10950
23729755,18167,14683
23729771,33359,28441
23729784,34030,23914
23729793,13703,8231
23729802,354,165
23729805,15555,12651
23729809,59589,54665
23729810,18074,14227
23729813,43169,38769
23729814,20688,15028
23729816,41206,36734
23729825,17157,13453
23729828,18673,15111
23729842,2489,2476
23729852,28082,20320
23729853,12771,9236
23729860,27515,24064
23729863,15175,15003
23729870,13133,10127
23729873,6170,5779
23729888,11711,10145
23729895,18798,18674
23729898,18116,17367
23729901,12462,12401
23729902,1928,838
23729905,32367,24964
23729908,15926,12291
23729911,15905,9840
23729916,3842,2587
23729921,11847,9506
23729941,19182,12711
23729948,19766,14596
23729954,14523,10458
23729962,11323,7368
23729964,12220,9740
23729966,12941,11153
23729975,11969,8060
23729998,11468,7616
23730001,14087,13479
23730008,9905,9232
23730010,40120,32169
23730016,26010,19101
23730019,24862,17079
23730020,4213,2141
23730021,20163,12082
23730025,9972,8373
23730031,18764,14451
23730039,14302,10757
23730044,16126,12706
23730059,9703,7543
23730062,19272,18901
23730076,45679,36363
23730081,11486,9224
23730088,12134,7158
23730091,3359,2671
23730094,71219,51884
23730111,59509,52012
23730121,24178,18848
23730141,38145,30456
23730149,22810,19148
23730151,8545,7928
23730152,26666,19853
23730161,19476,18265
23730162,11722,8652
23730177,9736,7240
23730198,6783,4852
23730199,6684,6340
23730208,2457,2261
23730213,51798,38895
23730214,44320,42310
23730228,26286,19501
23730232,23753,22619
23730236,6829,5178
23730239,14009,9828
23730241,5859,5657
23730247,21329,15542
23730265,23863,19331
23730271,5373,5373
23730274,29652,24436
23730294,23129,19603
23730295,8807,8433
23730314,34140,18054
23730316,38039,29935
23730318,19561,15365
23730326,22379,16668
23730328,63887,56511
23730333,1663,727
23730334,57732,44195
23730351,8724,6302
23730361,41975,29828
23730363,13552,12463
23730380,13900,11207
23730385,10249,9788
23730386,37131,31745
23730388,62171,46473
23730390,17871,12714
23730393,40935,39335
23730399,12104,10508
23730406,24157,23050
23730411,10027,9878
23730428,46723,34417
23730429,30243,23979
23730432,18178,15174
23730437,11741,10849
23730441,67126,52975
23730446,12632,9399
23730447,10942,8368
23730448,8512,8483
23730450,19426,14486
23730472,4172,3721
23730483,70498,59922
23730484,20905,14900
23730488,12982,10768
23730489,28001,20003
23730494,10323,10323
23730497,69438,61898
23730498,19605,18054
23730507,7978,6642
23730508,32330,25986
23730519,20957,16974
23730524,15532,10875
23730528,7543,7206
23730532,26140,18353
23730537,14004,12236
23730542,16835,14424
23730544,25594,21932
23730548,78743,65539
23730559,12950,12531
23730561,32553,24015
23730563,15711,13256
23730568,17184,13615
23730576,30638,24129
23730580,19928,14883
23730582,47188,32757
23730590,19670,17482
23730594,29550,24330
23730595,35604,30385
23730596,27051,21179
23730610,4472,4239
23730621,32077,23855
23730622,22603,19857
23730639,19857,14152
23730641,16501,11885
23730651,8355,6440
23730658,6224,5155
23730659,2600,2234
23730673,25229,19455
23730675,22010,18712
23730687,27206,22613
23730691,13497,13360
23730694,8028,6444
23730703,15496,13057
23730706,11413,9224
23730713,28054,21343
23730714,18121,14590
23730717,19623,14641
23730718,4980,3853
23730724,15615,10966
23730729,10877,8117
23730737,64876,62698
23730739,9238,7904
23730744,11153,9642
23730764,26018,23531
23730768,68530,58327
23730770,25907,21175
23730790,12315,9364
23730796,24747,14755
23730804,81464,69859
23730812,47193,38079
23730818,84863,67005
23730834,60213,46520
23730849,14134,10539
23730850,912,912
23730857,13050,12388
23730858,16151,12992
23730876,19695,16616
23730884,11422,8263
23730888,20005,15341
23730896,7709,6149
23730904,3016,2860
23730914,15168,14811
23730917,7507,6635
23730922,12113,9383
23730930,15815,14484
23730934,4466,4340
23730942,39275,30824
23730947,13007,10413
23730951,17037,12104
23730959,16005,11678
23730964,25137,18303
23730970,23827,21611
23730974,52827,46013
23730977,12475,8539
23730982,19190,14933
23731005,21060,17207
23731007,12005,8751
23731009,11753,8420
23731012,20592,18028
23731013,17175,12787
23731028,12431,10942
23731032,16162,14041
23731037,3056,2806
23731040,15639,12841
23731051,15091,12380
23731060,18458,14557
23731073,27278,20585
23731076,10053,7978
23731080,45023,38726
23731085,7619,5382
23731107,9501,8860
23731112,55273,53736
23731113,18657,14726
23731115,15526,9018
23731118,19853,17446
23731120,12585,9287
23731125,26568,21584
23731129,15240,11059
23731132,21098,18038
23731139,10445,9986
23731141,22653,18438
23731168,27554,23792
23731194,10905,9605
23731199,32461,22869
23731202,20884,16178
23731224,13314,10668
23731226,11737,9418
23731228,6354,5476
23731239,17578,14371
23731240,11532,8886
23731244,11862,9055
23731245,13682,10992
23731252,15556,15179
23731255,27981,23838
23731264,7676,6831
23731281,40440,28547
23731291,49510,47930
23731294,13116,10351
23731296,11228,9167
23731299,10232,7594
23731310,1490,1474
23731316,25047,21051
23731319,54808,39187
23731321,20286,16433
23731323,18838,17137
23731334,79447,61126
23731345,7650,7291
23731348,16313,12215
23731352,2662,2458
23731353,60094,49029
23731362,8877,5715
23731368,18137,14933
23731369,31432,27866
23731372,4820,4820
23731387,15690,10700
23731393,20735,15492
23731399,7452,6851
23731403,15012,10745
23731413,22628,19379
23731414,9167,7142
23731418,39145,32357
23731420,28568,23093
23731434,8269,5775
23731438,25557,18623
23731441,11774,8328
23731467,6075,5623
23731480,3249,3249
23731482,23340,18632
23731489,24140,20718
23731494,17619,16439
23731501,23404,23392
23731512,12095,9419
23731513,8626,7998
23731520,12409,10438
23731534,17596,12945
23731539,26894,25309
23731540,32328,26299
23731544,19037,13231
23731545,69767,63089
23731565,13060,11129
23731567,29192,16573
23731573,3948,3948
23731578,4510,3891
23731591,15676,14683
23731592,31184,26773
23731596,15595,12628
23731597,35814,34440
23731607,19593,16347
23731610,48092,34021
23731615,14202,11409
23731637,19404,13737
23731641,37020,32202
23731644,29875,20808
23731657,25057,20068
23731663,12377,9793
23731673,24297,19422
23731686,19662,14422
23731691,8674,7390
23731694,16381,13465
23731701,24892,21295
23731703,27707,25250
23731704,17661,13593
23731716,58797,56493
23731737,60420,38574
23731738,18663,13688
23731751,17863,13684
23731757,23273,18502
23731783,10935,9715
23731784,41427,33441
23731801,49201,40719
23731806,33611,30002
23731823,20295,15312
23731827,11326,9337
23731831,24462,17726
23731836,33038,26166
23731845,24799,15867
23731852,15130,11469
23731855,22777,17165
23731857,18444,14673
23731863,18226,14916
23731864,43557,32118
23731865,20872,16391
23731875,9731,6577
23731879,23700,17361
23731882,6366,2533
23731891,11240,8560
23731892,19741,15671
23731894,53177,47748
23731906,31309,22166
23731912,52589,42061
23731925,17099,12445
23731941,1423,847
23731944,11309,9304
23731958,14953,12837
23731960,23200,18760
23731962,19216,15816
23731969,12824,11056
23731975,16781,14383
23732005,49823,48937
23732008,19366,17936
23732022,22769,18012
23732031,22483,21643
23732039,14409,10870
23732044,4497,4242
23732046,22571,16564
23732052,14142,11026
23732071,49404,48126
23732073,50595,39803
23732075,16471,10779
23732087,29587,24922
23732091,13758,10446
23732092,25085,19474
23732094,8687,7963
23732101,17696,13092
23732113,46556,29516
23732117,57823,42103
23732121,15042,12800
23732134,28504,22098
23732135,15882,15259
23732147,37848,27177
23732171,62275,49764
23732176,27051,20672
23732187,23163,17342
23732195,14206,10761
23732208,18943,13687
23732211,42365,26615
23732220,5585,5419
23732233,28312,20224
23732237,24062,19937
23732264,11979,10183
23732272,23878,19080
23732275,27853,20762
23732282,46889,33481
23732291,17854,14491
23732293,22487,16556
23732295,17322,13309
23732296,21272,18325
23732310,27084,22162
23732312,15170,13846
23732322,61969,55233
23732327,20931,17905
23732331,42542,38289
23732339,15459,10696
23732341,27949,23143
23732342,17719,14752
23732348,18249,15785
23732349,9337,7188
23732351,13413,9552
23732355,29084,21352
